shop_id,category_id,longitude,latitude,price,mall_id
s_26,c_4,122.346736,31.833507,57,m_690
s_1587,c_1,122.347116,31.834759,60,m_690
s_1756,c_27,122.346919,31.833567,44,m_690
s_2258,c_38,122.346777,31.833647,50,m_690
s_2265,c_38,122.346113,31.834622,50,m_690
s_3221,c_49,122.346859,31.833882,73,m_690
s_3697,c_30,122.346763,31.83416,56,m_690
s_5947,c_26,122.346802,31.833697,52,m_690
s_9147,c_29,122.346026,31.833803,50,m_690
s_12639,c_49,122.347065,31.834226,59,m_690
s_15012,c_28,122.3468,31.833795,60,m_690
s_16473,c_28,122.346736,31.833507,47,m_690
s_17145,c_28,122.346736,31.833507,50,m_690
s_43301,c_24,122.346883,31.834288,55,m_690
s_44188,c_34,122.346891,31.834258,38,m_690
s_53708,c_36,122.346586,31.833984,52,m_690
s_57280,c_30,122.34692,31.833519,47,m_690
s_63055,c_51,122.346863,31.835022,74,m_690
s_68741,c_49,122.347046,31.833714,69,m_690
s_70432,c_33,122.347484,31.833515,50,m_690
s_70697,c_38,122.346806,31.834011,49,m_690
s_71589,c_13,122.346813,31.833586,65,m_690
s_75184,c_48,122.347027,31.834224,61,m_690
s_75575,c_29,122.346979,31.834168,55,m_690
s_82862,c_38,122.346763,31.83416,36,m_690
s_94841,c_51,122.346026,31.833803,53,m_690
s_98246,c_43,122.346374,31.833702,62,m_690
s_131895,c_49,122.346736,31.833514,62,m_690
s_149642,c_29,122.346934,31.834289,44,m_690
s_152386,c_27,122.346333,31.834603,46,m_690
s_162065,c_50,122.346736,31.833507,60,m_690
s_172852,c_28,122.34687,31.835156,52,m_690
s_200652,c_38,122.346802,31.833694,50,m_690
s_210364,c_1,122.346769,31.834159,63,m_690
s_211875,c_9,122.347057,31.835281,54,m_690
s_217698,c_28,122.34693,31.834126,47,m_690
s_221357,c_34,122.346794,31.833697,43,m_690
s_240723,c_26,122.347427,31.83363,53,m_690
s_259411,c_6,122.346209,31.833955,67,m_690
s_266675,c_28,122.346332,31.834796,44,m_690
s_267330,c_30,122.346279,31.834627,57,m_690
s_287617,c_34,122.346756,31.834335,38,m_690
s_298312,c_30,122.347259,31.835233,47,m_690
s_304431,c_53,122.346259,31.835019,67,m_690
s_321001,c_50,122.347069,31.834075,63,m_690
s_334595,c_38,122.346727,31.835055,52,m_690
s_389825,c_53,122.346796,31.833684,58,m_690
s_390302,c_38,122.346275,31.834634,51,m_690
s_392580,c_53,122.346736,31.833514,64,m_690
s_394554,c_59,122.346528,31.8349,50,m_690
s_398375,c_27,122.346736,31.833514,49,m_690
s_405021,c_11,122.346126,31.834848,55,m_690
s_407043,c_51,122.346776,31.833824,62,m_690
s_416299,c_24,122.347998,31.835383,64,m_690
s_423417,c_18,122.347445,31.834876,70,m_690
s_425128,c_50,122.346026,31.833803,64,m_690
s_430552,c_49,122.347206,31.834814,65,m_690
s_432564,c_1,122.346798,31.833699,60,m_690
s_455479,c_44,122.34678,31.833759,52,m_690
