user_id,shop_id,time_stamp,longitude,latitude,mall_id
u_25439,s_298312,"2017/8/11 18:20",122.346678,31.834848,m_690
u_118461,s_3806668,"2017/8/11 20:10",122.346478,31.833847,m_690
u_137065,s_71589,"2017/8/11 13:10",122.34713,31.833769,m_690
u_202629,s_1208985,"2017/8/11 9:50",122.347907,31.835347,m_690
u_453482,s_3697,"2017/8/11 13:00",122.346467,31.834317,m_690
u_720277,s_287617,"2017/8/11 17:00",122.346467,31.834284,m_690
u_1139408,s_416299,"2017/8/11 19:50",122.347755,31.835303,m_690
u_1403889,s_1425466,"2017/8/11 20:00",122.346099,31.834867,m_690
u_1406254,s_9147,"2017/8/11 11:40",122.346333,31.833404,m_690
u_1446679,s_211875,"2017/8/11 21:00",122.347148,31.835167,m_690
u_1651292,s_389825,"2017/8/11 21:50",122.347011,31.834861,m_690
u_1651728,s_43301,"2017/8/11 18:20",122.347232,31.83397,m_690
u_1651728,s_266675,"2017/8/11 16:10",122.346355,31.834783,m_690
u_1880637,s_131895,"2017/8/11 16:40",122.346913,31.833765,m_690
u_2127848,s_3609851,"2017/8/11 20:10",122.347545,31.834145,m_690
u_2158781,s_3836242,"2017/8/11 19:10",122.347676,31.83541,m_690
u_2263523,s_1425466,"2017/8/11 10:30",122.346094,31.834219,m_690
u_2286466,s_3836242,"2017/8/11 17:50",122.347673,31.835404,m_690
u_2299284,s_287617,"2017/8/11 15:40",122.346468,31.834282,m_690
u_2768470,s_394554,"2017/8/11 11:50",122.346714,31.83503,m_690
u_2967071,s_149642,"2017/8/11 18:20",122.346855,31.83452,m_690
u_3178395,s_3609851,"2017/8/11 13:00",122.347598,31.834074,m_690
u_3515081,s_495780,"2017/8/11 13:00",122.347008,31.834935,m_690
u_3595252,s_9147,"2017/8/11 8:20",122.346477,31.834224,m_690
u_3605042,s_149642,"2017/8/11 18:20",122.346958,31.834528,m_690
u_3605042,s_211875,"2017/8/11 18:20",122.346965,31.834766,m_690
u_3645381,s_3875945,"2017/8/11 19:30",122.346343,31.834083,m_690
u_4562264,s_3345001,"2017/8/11 12:10",122.34701,31.834818,m_690
u_4600688,s_200652,"2017/8/11 20:50",122.346477,31.834393,m_690
